bodyparts coords,toe x,toe y,toe likelihood,mtp x,mtp y,mtp likelihood,ankle x,ankle y,ankle likelihood,knee x,knee y,knee likelihood,hip x,hip y,hip likelihood,iliac crest x,iliac crest y,iliac crest likelihood
54,2069.294670569622,626.9884989847749,0.9999996423721312,2048.4322870515543,611.9166729118764,0.9999971389770508,2012.2308227604333,572.2417696861897,0.9989312291145324,2101.62665535611,546.6056698855632,0.9999796152114868,2066.9025909691572,490.4864115253557,0.9995120763778688,2055.357762074424,454.36974298838345,0.9988213181495668
55,2086.723548205059,627.3188289574196,0.9999984502792358,2065.707259397598,612.3904986327354,0.9999996423721312,2029.2248353330053,572.5507724835891,0.9999892711639404,2118.0271278804994,546.5508983923065,0.9999749660491944,2083.0052162997213,490.8465608165306,0.9999406337738036,2071.5317219986296,454.5247346611103,0.9999624490737916
56,2104.0804283391108,627.6557526272659,0.9999979734420776,2082.8972511886327,612.8938777962031,0.9999855756759644,2046.2525962206932,572.8793150443744,0.9999964237213136,2134.4370545077945,546.5049140411713,0.9999924898147584,2099.136736784462,491.2452304898763,0.9998379945755004,2087.7096515652465,454.7098111799403,0.9999213218688964
57,2121.3471093323724,627.9899194633117,0.9999445676803588,2099.9908731069277,613.409519856461,0.999829888343811,2063.299814991094,573.2136616562696,0.9999964237213136,2150.8522741852953,546.4639047116968,0.9999760389328004,2115.296884449062,491.67205851674913,0.999852180480957,2103.8927606695283,454.91828565308487,0.999768078327179
58,2138.511905225669,628.3119551928839,0.9999479055404664,2116.982666058797,613.9203747689749,0.9999935626983644,2080.3547061562663,573.5409753798128,0.9999992847442628,2167.2706272185346,546.4236980602666,0.9999924898147584,2131.486023691582,492.1164222507455,0.999925136566162,2120.0828149238823,455.1431981003401,0.9998840093612672
59,2155.569939126575,628.6127334926034,0.9998434782028198,2133.8731287484043,614.4101911213937,0.999990463256836,2097.4082644929626,573.849724994606,0.9999864101409912,2183.6920054012885,546.3798660632215,0.999987244606018,2147.7051397018517,492.5676964891909,0.999948263168335,2136.282100477926,455.3774619812276,0.999956488609314
60,2172.5231166492013,628.8836524911419,0.9999749660491944,2150.6684705225157,614.8640405817292,0.9999802112579346,2114.45438164823,574.130019646361,0.9999971389770508,2200.118289804154,546.3278485769972,0.99989914894104,2163.955778455684,493.015502544834,0.9998502731323242,2152.493356389188,455.61401294526996,0.9999833106994628
61,2189.379787436897,629.116904557484,0.9999855756759644,2167.3801063741967,615.2687877331242,0.999982476234436,2131.4898053045667,574.3738606852312,0.999996781349182,2216.5531821975865,546.2630915920394,0.9999668598175048,2180.239942272977,493.44994148083003,0.999979853630066,2168.71967794386,455.8459562186342,0.9999548196792604
62,2206.1541177839827,629.3057278728706,0.999987006187439,2184.0239232448744,615.6134869543771,0.9999918937683104,2148.513950460915,574.5753044957278,0.9999843835830688,2233.001941472698,546.1811949368879,0.9997592568397522,2196.5599474915607,493.8618055180785,0.9996616840362548,2184.964395917013,456.066709023751,0.9999178647994996
63,2222.8652109883415,629.4446288713692,0.999979853630066,2200.619357458583,615.8896914186732,0.999980330467224,2165.5285799273443,574.7305345399897,0.9999589920043944,2249.4710411657957,546.0780635326053,0.99993634223938,2212.918253024549,494.24276265564936,0.9998292922973632,2201.230938117923,456.27013451437364,0.9996503591537476
